Eatery_Id,Eatery_Name,City,Country_Code,Cuisines,Price_Range,Average_Cost_For_Two,Online_Delivery,Deliverying_Available,Table_Booking_Available,Aggregate_Rating,Rating_Text,Votes,Currency
18282003,U Like,New Delhi,1,Bakery,1,150,0,0,0,0.0,Not rated,3,Rs.
307306,Keuchen Paradise,New Delhi,1,Bakery,1,300,1,0,0,2.8,Average,8,Rs.
308526,Sweet Toof Designer Cakes,New Delhi,1,Bakery,1,250,0,0,0,3.1,Average,7,Rs.
308526,Sweet Toof Designer Cakes,New Delhi,1,Desserts,1,250,0,0,0,3.1,Average,7,Rs.
18146358,Chatto Chapati,New Delhi,1,North Indian,1,250,0,0,0,3.0,Average,8,Rs.
313185,Angrezee Dhaba,New Delhi,1,North Indian,1,350,1,0,0,2.8,Average,7,Rs.
313185,Angrezee Dhaba,New Delhi,1,Mughlai,1,350,1,0,0,2.8,Average,7,Rs.
313185,Angrezee Dhaba,New Delhi,1,Chinese,1,350,1,0,0,2.8,Average,7,Rs.
18429423,9 is Mine,New Delhi,1,Fast Food,1,300,1,0,0,2.6,Average,4,Rs.
18375388,Senorita's,New Delhi,1,Mexican,1,300,0,0,0,0.0,Not rated,3,Rs.
18267785,Night Food Delivery,New Delhi,1,North Indian,2,500,1,0,0,2.7,Average,5,Rs.
18267785,Night Food Delivery,New Delhi,1,Chinese,2,500,1,0,0,2.7,Average,5,Rs.
18138441,Lahorian's Sweets & Bakers,New Delhi,1,Street Food,1,250,0,0,0,2.9,Average,5,Rs.
18138441,Lahorian's Sweets & Bakers,New Delhi,1,Desserts,1,250,0,0,0,2.9,Average,5,Rs.
9855,Hirdesh Eating Point,New Delhi,1,North Indian,1,200,0,0,0,0.0,Not rated,1,Rs.
311189,Yummy Rasoi,New Delhi,1,North Indian,1,200,0,0,0,0.0,Not rated,1,Rs.
